## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /media/work/New Volume1/Alignment/FastpAllignment/CH-NORMS1_trimmed_sorted_rg.bam --OUTPUT /home/work/Desktop/variants/latest_tools_varains_with_reference_file/dedup_allignments/CH-NORMS1.dedup.bam --METRICS_FILE /home/work/Desktop/variants/latest_tools_varains_with_reference_file/dedup_allignments/CH-NORMS1.metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Aug 13 15:17:04 PKT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	895643	436970646	3615476	2182457	314139	37780610	3774873	0.086731	2612848101

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008006	364684720	0	367815322
2.0	1.860776	31601907	3662119	29035282
3.0	2.582217	2644078	54523	2151454
4.0	3.192554	226239	1186	162811
5.0	3.708898	22167	35	15120
6.0	4.145723	3872	2	3100
7.0	4.515276	1612	0	1521
8.0	4.827917	1027	0	1013
9.0	5.09241	765	0	768
10.0	5.31617	533	0	531
11.0	5.505471	414	0	412
12.0	5.665619	339	0	339
13.0	5.801104	274	0	274
14.0	5.915724	196	0	196
15.0	6.012691	198	0	198
16.0	6.094726	155	0	155
17.0	6.164127	145	0	145
18.0	6.22284	122	0	122
19.0	6.272511	97	0	97
20.0	6.314533	78	0	78
21.0	6.350083	68	0	68
22.0	6.380158	56	0	56
23.0	6.405602	48	0	48
24.0	6.427127	50	0	50
25.0	6.445338	59	0	59
26.0	6.460744	41	0	41
27.0	6.473777	51	0	51
28.0	6.484803	39	0	39
29.0	6.494131	37	0	38
30.0	6.502023	40	0	39
31.0	6.508699	38	0	38
32.0	6.514347	30	0	30
33.0	6.519125	32	0	32
34.0	6.523168	24	0	24
35.0	6.526587	22	0	23
36.0	6.529481	20	0	19
37.0	6.531928	20	0	21
38.0	6.533999	20	0	19
39.0	6.535751	22	0	22
40.0	6.537233	17	0	17
41.0	6.538487	13	0	13
42.0	6.539547	20	0	20
43.0	6.540445	12	0	12
44.0	6.541204	3	0	3
45.0	6.541846	14	0	14
46.0	6.542389	8	0	8
47.0	6.542849	6	0	6
48.0	6.543238	13	0	13
49.0	6.543567	14	0	14
50.0	6.543845	3	0	3
51.0	6.544081	11	0	12
52.0	6.54428	10	0	9
53.0	6.544448	11	0	11
54.0	6.544591	3	0	3
55.0	6.544711	4	0	4
56.0	6.544814	8	0	8
57.0	6.5449	7	0	7
58.0	6.544973	6	0	6
59.0	6.545035	5	0	5
60.0	6.545087	4	0	4
61.0	6.545131	4	0	4
62.0	6.545169	8	0	8
63.0	6.5452	2	0	2
64.0	6.545227	3	0	3
65.0	6.54525	8	0	8
66.0	6.545269	9	0	9
67.0	6.545285	2	0	2
68.0	6.545299	5	0	5
69.0	6.54531	6	0	6
70.0	6.54532	1	0	1
71.0	6.545328	5	0	5
72.0	6.545335	6	0	6
73.0	6.545341	5	0	5
74.0	6.545346	1	0	1
75.0	6.545351	0	0	0
76.0	6.545354	3	0	3
77.0	6.545357	1	0	2
78.0	6.54536	2	0	1
79.0	6.545362	2	0	2
80.0	6.545364	3	0	3
81.0	6.545365	3	0	3
82.0	6.545367	3	0	3
83.0	6.545368	1	0	1
84.0	6.545369	1	0	1
85.0	6.54537	2	0	2
86.0	6.54537	0	0	0
87.0	6.545371	1	0	2
88.0	6.545371	2	0	1
89.0	6.545372	0	0	0
90.0	6.545372	1	0	1
91.0	6.545372	1	0	1
92.0	6.545373	2	0	2
93.0	6.545373	4	0	4
94.0	6.545373	1	0	1
95.0	6.545373	1	0	1
96.0	6.545373	4	0	4
97.0	6.545373	1	0	1
98.0	6.545374	1	0	1
99.0	6.545374	0	0	0
100.0	6.545374	1	0	1
101.0	0	1	0	1
102.0	0	2	0	2
104.0	0	2	0	2
106.0	0	1	0	1
107.0	0	2	0	2
109.0	0	2	0	2
110.0	0	2	0	2
112.0	0	1	0	1
113.0	0	1	0	1
114.0	0	3	0	3
116.0	0	2	0	2
118.0	0	3	0	3
121.0	0	1	0	1
123.0	0	1	0	1
124.0	0	3	0	3
126.0	0	1	0	1
127.0	0	3	0	3
128.0	0	1	0	1
130.0	0	1	0	1
131.0	0	1	0	1
132.0	0	1	0	1
133.0	0	1	0	1
134.0	0	1	0	1
135.0	0	1	0	1
136.0	0	2	0	2
137.0	0	1	0	1
138.0	0	1	0	1
140.0	0	3	0	3
143.0	0	1	0	1
144.0	0	1	0	2
145.0	0	1	0	0
150.0	0	1	0	1
153.0	0	1	0	1
155.0	0	4	0	4
156.0	0	1	0	1
157.0	0	1	0	1
162.0	0	1	0	1
170.0	0	2	0	2
176.0	0	1	0	1
182.0	0	1	0	1
192.0	0	1	0	1
194.0	0	1	0	1
200.0	0	0	0	1
201.0	0	1	0	0
210.0	0	2	0	2
214.0	0	1	0	1
220.0	0	0	0	1
221.0	0	2	0	1
226.0	0	1	0	1
231.0	0	1	0	1
246.0	0	1	0	1
250.0	0	1	0	1
256.0	0	1	0	1
261.0	0	1	0	1
270.0	0	1	0	1
275.0	0	1	0	1
279.0	0	1	0	1
288.0	0	1	0	1
302.0	0	1	0	1
305.0	0	1	0	1
310.0	0	0	0	1
311.0	0	1	0	0
339.0	0	1	0	1

